user_id,name,membership,days_active,habits_completed,focus_minutes,last_login
1,Alice,premium,25,18,90,2024-01-15
2,Bob,free,3,1,10,2024-01-10
3,Carol,premium,20,15,85,2024-01-14
4,Dave,free,1,0,5,2024-01-01
5,Eve,premium,30,20,120,2024-01-15
6,Frank,free,8,4,35,2024-01-12
7,Grace,premium,22,16,95,2024-01-15
8,Henry,free,2,1,8,2024-01-05
9,Iris,premium,18,12,75,2024-01-13
10,Jack,free,5,2,20,2024-01-08
11,Kate,premium,28,19,110,2024-01-15
12,Liam,free,0,,5,2024-01-01
13,Mia,premium,15,10,70,2024-01-11
14,Noah,free,4,2,15,
15,Olivia,premium,26,17,100,2024-01-14
16,Paul,free,7,3,30,2024-01-09
17,Quinn,premium,21,14,88,2024-01-13
18,Rose,free,1,0,,2024-01-02
19,Sam,premium,24,16,92,2024-01-15
20,Tara,free,6,3,25,2024-01-07
